Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points
1. উদ্বাসন শব্দের অর্থ কী?,বাসভুমি থেকে বিতাড়িত হওয়া,বাসভুমির সম্মুখস্ত ভূমি,অজ্ঞাত বিষয় প্রকাশ করা,বিকাশ,বাসভুমি থেকে বিতাড়িত হওয়া,1
2. বঙ্গবন্ধু শেখ মুজিবুর রহমানের অসমাপ্ত আত্মজীবনী প্রথম প্রকাশিত হয় কত সালে?,২০১০ সালে,২০১১ সালে,২০১২ সালে,২০১৫ সালে,২০১২ সালে,1
3. কিত্তনখেলা নাটকটির বিষয়বস্তু কী?,যন্ত্রণাদগ্ধ জীবন,স্নিগ্ধ শ্যামল প্রকৃতির রূপ,লোকায়ত জীবন-সংস্কৃতি,দেশ বিভাগজনিত জীবন যন্ত্রণা,লোকায়ত জীবন-সংস্কৃতি,1
4. মধ্যপদলোপী কর্মধারয় সমাস কোনটি?,সিংহ চিহ্নিত আসন=সিংহাসন,মহান যে পুরুষ=মহাপুরুষ,কুসুমের মতো কোমল=কুসুমকোমল,জায়া ও পতি=দম্পতি,সিংহ চিহ্নিত আসন=সিংহাসন,1
5. বাক্যের দুটি অংশ কী কী?,"প্রসাদগুণ, মাধুর্যগুণ","উপমা, অলংকার","উদ্দেশ্য, বিধেয়","সাধু, চলিত","উদ্দেশ্য, বিধেয়",1
6. যিনি ন্যায় শাস্ত্র জানেন তাঁকে কী বলা হয়?,ন্যায়বাগীশ,নৈয়ায়িক,ন্যায়পাল,ন্যায়ঋগ্ধ,নৈয়ায়িক,1
7. মহাকবি আলাওল রচিত কাব্য কোনটি?,চন্দ্রাবতী,পদ্মাবতী,মধুমালতী,লাইলী মজনু,পদ্মাবতী,1
8. বাংলা আদি অধিবাসীগণ কোন ভাষাভাষী ছিলেন?,বাাংলা,সংস্কৃত,হিন্দি,অস্ট্রিক,অস্ট্রিক,1
9. সঠিক বানান নয় কোনটি?,ধরণি,মূর্ছা,গুণ,প্রানী,প্রানী,1
10. কোনটি শুদ্ধ নয়?,যন্ত্রনা,শূভ্র,সহযোগিতা,স্বতঃ স্ফূর্ত,যন্ত্রনা,1
11. কোন সাহিত্যকর্মে সান্ধ্য ভাষার প্রয়োগ আছে?,পদাবলী,গীতগোবিন্দ,চর্যাপদ,চৈতন্যজীবনী,চর্যাপদ,1
12. ঐহিক এর বিপরীত শব্দ কোনটি?,ঈদৃশ,পারত্রিক,মাঙ্গলিক,আকস্মিক,পারত্রিক,1
13. সবুজপত্র’ পত্রিকাটির সম্পাদক কে?,রবীন্দ্রনাথ ঠাকুর,শূেখ ফজলুল করিম,প্রমথ চৌধুরী,মোহাম্মদ নাসির উদ্দিন,প্রমথ চৌধুরী,1
14. মুক্তিযুদ্ধভিত্তিক নভেল কোনটি?,ক্রীতদাসের হাসি,জীবন ও রাজনৈতিক বাস্তবতা,কান্নাপর্ব,প্রাদোষে প্রাকৃতজন,জীবন ও রাজনৈতিক বাস্তবতা,1
15. আমার জ্বর জ্বর লাগছে এখানে জ্বর জ্বর কোন প্রকারের শব্দ?,দিরুক্ত শব্দ,সমার্থক শব্দ,যুগ্ম শব্দ,শব্দদিত্ব,দিরুক্ত শব্দ,1
16. শুদ্ধ বাক্য নয় কোনটি?,বিদ্বান হলেও তার কোনো অহংকার নেই,ইশ! যদি পাখির মত পাখা পেতাম।,অঅকারণে ঋণ করিও না,হয়তো সোহমা আসতে পারে,অঅকারণে ঋণ করিও না,1
17. কৃষ্টি শব্দের সঠিক প্রকৃতি প্রত্যয় কোনটি?,কৃষ্+তি,কৃষ্+টি,কৃ+ইষ্টি,কৃষ্+ইষ্টি,কৃষ্+তি,1
18. “উলুবনে মুক্তা ছড়ানো” প্রচলিত এমন শব্দগুলোকে কী বলে?,প্রবাদ প্রবচন,এককথায় প্রকাশ,ভাবসম্প্রসারণ,বাক্য সংকোচন,প্রবাদ প্রবচন,1
19. মানুষের দেহের যেসব অঙ্গপ্রত্যঙ্গ ধ্বনি তৈরিতে সাহায্য করে তাকে কী বলে?,বাক প্রত্যঙ্গ,অঙ্গধ্বনি,স্বরতন্ত্রী,ন্যাাসিকাতন্ত্র,বাক প্রত্যঙ্গ,1
20. বাবা কোন ভাষার শব্দ?,তৎসম,তদ্ভব,ফারসি,তুর্কি,তুর্কি,1
20. বাবা কোন ভাষার শব্দ?,Explanation:বাবা শব্দটি তুর্কি ভাষা থেকে বাংলায় এসেছে,,,,Explanation:বাবা শব্দটি তুর্কি ভাষা থেকে বাংলায় এসেছে,1
21. অধিত্যকা এর বিপরীত শব্দ কোনটি?,উপত্যকা,ধিত্যকা,পার্বত্য,সমতল,উপত্যকা,1
22. Notification এর বাংলা পরিভাষা কোনটি?,বিজ্ঞাপন,বিজ্ঞপ্তি,বিজ্ঞপ্তি ফলক,প্রজ্ঞাপন,প্রজ্ঞাপন,1
23. কোন তারিখে মার্কিন যুক্তরাষ্ট্র ইরানের উপর অর্থনৈতিক নিষেধাজ্ঞা পুণরায় আরোপ করে?,"২০ আগস্ট,২০২০","১৯ সেপ্টেম্বর,২০২০","১৮ অক্টোবর,২০২০","১৫ জুলাই,২০২০","১৫ জুলাই,২০২০",1
24.IUCN এর কাজ হলো-,পানি সম্পদ রক্ষা করা,সন্ত্রাস দমন করা,প্রাকৃতিক সম্পদ রক্ষা করা,পরিবেশ দূষণ রোধ,প্রাকৃতিক সম্পদ রক্ষা করা,1
